Dates;USGG2YR Index;ES1 Index;SX5E Index;DG FP Equity;;TTE FP Equity;;AI FP Equity;;EL FP Equity;;AIR FP Equity;;CS FP Equity;;CAP FP Equity;;SGO FP Equity;;HENKEL HB Equity;;ML FP Equity;;MC FP Equity;;ORA FP Equity;;SU FP Equity;;SAN FP Equity;;PUB FP Equity;;TE FP Equity;;NESN SW Equity;;GE US Equity;;AAPL US Equity;
Dates;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D
01/04/2022;2.4564;4539.25;3918.68;83.6786;26.631;39.8921;29.958;124.8614;22.229;156.9757;29.728;106.0676;36.861;22.2529;26.115;189.9984;30.241;49.2654;39.75;20678.833;#N/A N/A;27.386;30.065;616.25;32.084;8.8212;19.25;145.7014;28.791;83.7781;23.638;48.471;36.695;10.472;35.714;111.5182;15.339;56.818;33.91;171.531;26.66
04/04/2022;2.4221;4577.75;3951.12;82.3295;27.267;39.7982;29.104;126.2714;21.611;161.3335;26.979;105.1887;37.578;21.8123;25.912;195.2748;29.06;49.8216;38.783;20540.667;#N/A N/A;27.4082;29.693;629.81;30.717;8.7639;18.896;147.4945;27.561;84.8727;21.51;48.6822;36.602;10.427;36.931;112.4963;15.551;56.5293;34.181;175.595;26.403
05/04/2022;2.5139;4520.25;3917.85;78.9613;33.665;39.5039;30.763;126.6944;23.781;160.8598;29.102;100.5455;42.824;21.4133;29.399;190.9016;31.264;47.688;43.444;20794.706;#N/A N/A;26.7313;32.179;626.97;32.658;8.7607;19.525;143.4174;31.863;86.3055;21.446;48.5766;36.662;10.07;38.819;114.028;15.347;55.3498;35.874;172.269;28.198
06/04/2022;2.4714;4475.75;3824.69;77.1119;37.422;38.9493;31.307;125.4567;25.921;154.702;33.9;99.1697;44.553;21.3717;32.704;183.391;36.142;45.5498;49.731;21360.063;#N/A N/A;26.121;36.998;603.53;36.658;8.8818;19.613;136.037;38.036;87.5514;22.547;48.0662;37.62;10.051;41.326;112.9392;16.103;55.2331;36.454;169.09;29.984
07/04/2022;2.4595;4496.25;3802.01;77.7641;36.856;38.3179;31.805;125.5194;24.786;154.3231;33.598;97.4309;46.378;21.1847;29.492;181.2519;36.451;45.5999;48.4;21588.106;#N/A N/A;25.7659;36.538;591.96;37.824;8.8883;20.282;135.7728;36.601;88.913;23.61;47.8022;37.206;10.225;39.118;113.622;15.586;54.9566;37.15;169.395;29.68
08/04/2022;2.5115;4483.5;3858.37;78.7736;37.175;38.9578;30.248;127.0704;24.1;156.0757;32.932;98.7875;44.678;21.4174;31.237;180.3487;35.353;46.8309;47.057;21930.171;#N/A N/A;25.9324;36.331;599.26;37.271;9.0324;18.681;137.3206;35.657;92.9621;24.876;48.5062;36.478;10.372;38.431;114.8769;14.683;55.1286;36.522;167.378;29.603
11/04/2022;2.4975;4409;3839.62;80.7213;33.957;39.7812;29.682;128.4647;23.743;154.6547;32.95;99.7812;44.328;22.0284;28.76;180.1111;36.644;46.9676;44.359;21711.63;#N/A N/A;25.8769;35.163;588.07;35.947;9.0831;18.678;134.9611;36.554;94.5284;24.545;48.0838;37.565;10.349;39.129;117.1235;16.5;55.0856;38.757;163.107;32.609
12/04/2022;2.4054;4393;3831.47;81.2216;32.587;39.6105;29.445;126.9764;24.574;152.8547;32.925;99.9913;43.939;22.257;27.693;180.5864;36.3;47.4874;43.051;21284.049;#N/A N/A;26.1654;33.651;598.51;35.199;9.0897;18.883;133.8852;36.049;91.8586;26.718;47.7318;37.365;10.463;38.721;115.953;17.191;55.2884;38.333;164.987;31.511
13/04/2022;2.3481;4442.25;3827.96;80.6677;33.81;40.0883;28.549;127.0704;24.093;153.4231;32.685;99.7047;43.014;22.1614;30.195;179.4931;36.292;47.6789;42.101;21098.763;#N/A N/A;26.343;32.915;601.54;32.826;9.1191;19.157;133.8663;35.58;92.268;26.989;48.0838;37.497;10.628;37.729;116.8403;16.564;55.7491;36.607;167.683;29.051
14/04/2022;2.4539;4387.5;3848.68;80.3818;33.158;39.8366;28.924;127.603;22.797;158.444;31.576;101.3862;40.824;22.444;28.45;181.7273;34.738;47.3232;39.925;21098.763;#N/A N/A;26.4539;30.08;607.14;30.392;9.2141;19.293;133.3755;35.176;91.7874;25.808;48.9462;31.696;10.948;34.546;117.1801;15.033;55.7982;36.466;162.655;31.257
